,LeadTime,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,Temp,Cloudcover,BookingDateWeekNumber,BookingDateDayOfWeek,TotalNights,CancelationRatio,DepositType_Non Refund,CustomerType_Transient,Agent_9,Agent_Other
26091,133,118.8,0,0,63.5,44.4,48,6,1,0.0,0.0,1.0,1,0
10451,437,60.0,0,0,67.3,0.0,8,5,3,0.0,1.0,1.0,0,0
10493,103,95.0,0,0,70.1,70.8,3,5,3,0.0,0.0,0.0,0,1
40915,4,65.0,0,0,54.4,16.6,48,4,1,0.0,0.0,1.0,0,0
76023,414,122.4,0,1,79.9,14.6,21,3,2,0.0,0.0,0.0,0,1
43741,0,79.0,0,2,58.8,90.5,6,5,1,0.0,0.0,1.0,0,0
54726,185,114.75,0,1,73.8,11.1,4,6,8,0.0,0.0,1.0,1,0
76405,128,126.0,0,0,70.5,31.3,10,6,4,0.0,0.0,1.0,1,0
28136,104,160.0,0,0,70.3,57.5,5,2,3,0.0,1.0,1.0,0,0
11222,31,125.1,0,0,61.9,32.1,15,6,2,0.0,0.0,1.0,1,0
75006,14,144.0,0,0,69.8,44.6,24,2,4,0.0,0.0,1.0,0,1
51808,192,95.0,0,0,68.7,40.4,51,2,2,0.0,0.0,0.0,0,1
25093,166,88.4,0,1,51.6,53.2,41,1,4,0.0,0.0,1.0,1,0
75960,10,180.0,0,3,79.9,14.6,27,1,1,0.0,0.0,1.0,1,0
61404,8,156.67,0,3,58.4,36.6,44,3,3,0.0,0.0,1.0,0,1
7678,8,56.0,0,0,55.8,72.2,8,2,2,0.0,0.0,0.0,0,1
71595,96,139.2,0,0,61.1,53.8,5,6,3,0.0,0.0,1.0,0,1
57326,115,129.6,0,2,83.8,21.5,19,6,10,0.0,0.0,1.0,1,0
25401,296,193.5,0,0,62.2,20.6,23,6,6,0.0,0.0,1.0,1,0
68468,158,95.0,0,0,56.8,42.4,42,4,2,0.0,0.0,0.0,0,1
61715,49,75.0,0,1,58.2,2.8,39,2,3,0.0,0.0,1.0,0,1
27813,62,228.21,0,0,69.5,60.9,10,2,7,0.0,0.0,1.0,0,1
22126,328,107.95,0,1,60.8,57.6,6,3,7,0.0,0.0,1.0,1,0
54945,7,148.0,0,0,82.2,0.8,31,4,2,0.0,0.0,1.0,1,0
18194,265,100.3,0,0,64.6,31.3,3,1,5,0.0,0.0,1.0,1,0
75272,1,138.0,0,3,81.5,0.0,26,0,1,0.0,0.0,1.0,1,0
12383,213,130.0,0,0,72.3,1.2,45,6,3,0.0,1.0,1.0,0,1
44880,0,97.0,0,0,52.2,45.0,9,6,1,0.0,0.0,1.0,1,0
563,28,62.0,0,0,73.3,28.6,28,1,4,0.0,0.0,0.0,0,0
26335,42,150.0,0,0,68.0,41.9,10,3,3,0.0,0.0,1.0,1,0
42693,325,95.0,0,0,64.7,76.0,48,5,3,1.0,1.0,1.0,0,1
39553,0,95.0,0,0,63.8,66.7,44,5,1,0.0,0.0,1.0,0,0
28775,97,205.2,0,0,72.6,65.2,7,1,3,0.0,0.0,1.0,1,0
71246,116,144.0,0,2,63.7,31.5,2,2,3,0.0,0.0,1.0,1,0
16846,433,62.0,0,0,66.4,51.4,28,5,2,0.0,1.0,1.0,0,0
16390,230,137.0,0,0,83.8,21.5,3,3,5,0.0,0.0,0.0,0,1
51538,6,99.0,0,2,69.8,38.2,24,5,1,0.0,0.0,1.0,0,1
70136,133,124.0,0,0,68.0,41.9,49,3,4,0.0,0.0,0.0,0,1
7038,12,93.0,0,1,55.5,60.3,4,2,1,0.0,0.0,1.0,1,0
20175,277,100.0,0,0,54.1,31.6,5,4,3,0.0,1.0,1.0,0,0
73771,88,153.0,0,0,72.9,43.4,10,0,5,0.0,0.0,1.0,1,0
70569,110,99.0,0,0,62.5,49.1,1,0,2,0.0,0.0,1.0,0,1
33291,162,140.0,0,0,76.0,22.3,10,5,2,0.0,1.0,1.0,0,0
16959,302,100.0,0,0,68.2,30.6,47,4,3,0.0,1.0,1.0,0,1
