,IsCanceled
26091,1
10451,1
10493,1
40915,0
76023,0
43741,0
54726,0
76405,0
28136,1
11222,1
75006,0
15322,1
51808,0
25093,1
75960,0
61404,0
7678,1
71595,0
57326,0
25401,1
68468,0
61715,0
27813,1
22126,1
54945,0
18194,1
75272,0
12383,1
44880,0
563,0
26335,1
42693,1
39553,1
28775,1
71246,0
16846,1
16390,1
51538,0
70136,0
7038,1
20175,1
73771,0
70569,0
33291,1
16959,1
39879,0
62500,0
3184,0
67752,0
7270,1
39967,1
74093,0
78946,0
71324,0
23359,1
40112,0
71214,0
41984,0
6561,0
71266,0
72774,0
30554,1
55974,0
40817,0
66880,0
7896,1
39670,1
21479,1
55117,0
62375,0
39069,0
61679,0
5879,0
14190,1
40704,1
4625,0
55880,0
71654,0
48368,0
59440,0
74489,0
59219,0
9498,1
5838,0
76741,0
18132,1
31363,1
60585,0
61880,0
18442,1
77671,0
75799,0
26128,1
16840,1
6966,1
11911,1
72169,0
600,0
20417,1
48062,0
37667,0
55549,0
52382,0
10750,1
11768,0
74342,0
28324,1
28011,1
67827,0
39725,0
5494,0
74702,0
64684,0
23975,1
48058,0
32144,1
41662,1
63605,0
3675,0
24729,1
6286,0
10330,0
54995,0
26387,1
5581,0
27957,1
48347,0
33032,1
51481,0
74985,0
17943,1
56797,0
2208,0
64210,0
62775,0
45408,0
6770,0
53903,0
31005,1
6504,0
1026,0
7647,1
44805,0
20021,1
67787,0
67874,0
72122,0
43100,0
37580,0
27600,1
14450,1
8648,1
13708,1
75131,0
31311,1
24119,1
72002,0
52885,0
40687,1
21149,1
79162,0
25441,1
52120,0
52052,0
40560,0
24368,1
67886,0
60948,0
53782,0
31406,1
47003,0
59329,0
11019,1
31847,1
38421,0
27923,1
62407,0
7052,0
44459,0
18942,1
63663,0
31484,1
3964,0
70152,0
14537,1
1683,0
12682,1
54799,0
26177,1
43922,0
54973,0
20354,1
74717,0
43721,0
75306,0
4845,1
33469,1
53609,0
9092,1
